ID,N,Strategy,K,Time,Status
52,30,norestart,-1,300,TIMEOUT
39,20,antifirstfail,-1,300,TIMEOUT
35,20,mostconstrained,-1,300,TIMEOUT
53,30,norestart,-1,300,TIMEOUT
40,20,antifirstfail,-1,300,TIMEOUT
36,20,mostconstrained,-1,300,TIMEOUT
54,30,norestart,-1,300,TIMEOUT
41,25,antifirstfail,-1,300,TIMEOUT
37,20,mostconstrained,-1,300,TIMEOUT
55,30,norestart,-1,300,TIMEOUT
42,25,antifirstfail,-1,300,TIMEOUT
38,20,mostconstrained,-1,300,TIMEOUT
56,30,norestart,-1,300,TIMEOUT
43,25,antifirstfail,-1,300,TIMEOUT
39,20,mostconstrained,-1,300,TIMEOUT
57,30,norestart,-1,300,TIMEOUT
44,25,antifirstfail,-1,300,TIMEOUT
40,20,mostconstrained,-1,300,TIMEOUT
58,30,norestart,26,57.81,OK
59,30,norestart,28,17.553,OK
45,25,antifirstfail,-1,300,TIMEOUT
41,25,mostconstrained,-1,300,TIMEOUT
60,30,norestart,-1,300,TIMEOUT
46,25,antifirstfail,-1,300,TIMEOUT
42,25,mostconstrained,-1,300,TIMEOUT
47,25,antifirstfail,-1,300,TIMEOUT
43,25,mostconstrained,-1,300,TIMEOUT
48,25,antifirstfail,-1,300,TIMEOUT
44,25,mostconstrained,-1,300,TIMEOUT
49,25,antifirstfail,-1,300,TIMEOUT
45,25,mostconstrained,-1,300,TIMEOUT
50,25,antifirstfail,-1,300,TIMEOUT
46,25,mostconstrained,-1,300,TIMEOUT
51,30,antifirstfail,-1,300,TIMEOUT
47,25,mostconstrained,-1,300,TIMEOUT
52,30,antifirstfail,-1,300,TIMEOUT
48,25,mostconstrained,-1,300,TIMEOUT
53,30,antifirstfail,-1,300,TIMEOUT
49,25,mostconstrained,-1,300,TIMEOUT
54,30,antifirstfail,-1,300,TIMEOUT
50,25,mostconstrained,-1,300,TIMEOUT
55,30,antifirstfail,-1,300,TIMEOUT
51,30,mostconstrained,-1,300,TIMEOUT
56,30,antifirstfail,-1,300,TIMEOUT
52,30,mostconstrained,-1,300,TIMEOUT
57,30,antifirstfail,-1,300,TIMEOUT
53,30,mostconstrained,-1,300,TIMEOUT
58,30,antifirstfail,-1,300,TIMEOUT
54,30,mostconstrained,-1,300,TIMEOUT
59,30,antifirstfail,-1,300,TIMEOUT
55,30,mostconstrained,-1,300,TIMEOUT
60,30,antifirstfail,-1,300,TIMEOUT
56,30,mostconstrained,-1,300,TIMEOUT
57,30,mostconstrained,-1,300,TIMEOUT
58,30,mostconstrained,-1,300,TIMEOUT
59,30,mostconstrained,-1,300,TIMEOUT
60,30,mostconstrained,-1,300,TIMEOUT
